,trip_id,service_date,weather,rush_hour,baseline_result,delay_current_trip,ratio_current_trip,delay_prev_trip,ratio_prev_trip,prev_arrival_time,actual_arrival_time,shape_id,stop_id,time_of_day,dist_along_route
51,MA_A6-Weekday-SDon-040200_X30_607,20160105,0,0,2990.399539,0.053843373,1.053843373,-0.216158178,1.053843373,1560.891597,3400.786368,X300089,403465,05-01-2016 12:20,9474.88
52,MA_A6-Weekday-SDon-040200_X30_607,20160105,0,0,2265.720025,-0.14687325,0.85312675,-0.785676626,0.85312675,3815.046839,3100.786368,X300089,403465,05-01-2016 12:25,13413.36426
53,MA_A6-Weekday-SDon-040200_X30_607,20160105,0,0,2016.540994,-0.14687325,0.85312675,-0.759150067,0.85312675,3645.066198,2800.786368,X300089,403465,05-01-2016 12:30,19706.01
54,MA_A6-Weekday-SDon-041000_X30_608,20160105,0,0,532.1803461,-0.041293365,0.958706635,-0.515432654,0.958706635,460.3539212,519.377113,X300089,201560,05-01-2016 12:00,3647.395938
55,MA_A6-Weekday-SDon-041000_X30_608,20160105,0,0,204.2004456,-0.020808794,0.979191206,-0.454202835,0.979191206,167.5739802,219.377113,X300089,201560,05-01-2016 12:05,5132.073441
56,MA_A6-Weekday-SDon-041000_X30_608,20160105,0,0,4500.13112,-0.041293365,0.958706635,-0.223453595,0.958706635,4624.334497,5343.157187,X300089,403465,05-01-2016 12:00,3647.395938
57,MA_A6-Weekday-SDon-041000_X30_608,20160105,0,0,4172.15122,-0.020808794,0.979191206,-0.215658085,0.979191206,4286.158654,5043.157187,X300089,403465,05-01-2016 12:05,5132.073441
58,MA_A6-Weekday-SDon-041000_X30_608,20160105,0,0,3880.054538,-0.031079992,0.968920008,-0.211449373,0.968920008,2372.963109,4743.157187,X300089,403465,05-01-2016 12:10,6515.875781
59,MA_A6-Weekday-SDon-041000_X30_608,20160105,0,0,3659.178054,0.014805533,1.014805533,-0.200914596,1.014805533,2165.438283,4443.157187,X300089,403465,05-01-2016 12:15,7253.265938
60,MA_A6-Weekday-SDon-041000_X30_608,20160105,0,0,3347.040779,0.013875157,1.013875157,-0.225793521,1.013875157,1908.37248,4143.157187,X300089,403465,05-01-2016 12:20,8356.287742
61,MA_A6-Weekday-SDon-041000_X30_608,20160105,0,0,2737.927815,-0.050115664,0.949884336,-0.144645665,0.949884336,4114.857227,3843.157187,X300089,403465,05-01-2016 12:25,10168.31957
62,MA_A6-Weekday-SDon-041000_X30_608,20160105,0,0,2183.943862,-0.212238522,0.787761478,-0.777832383,0.787761478,4085.704027,3543.157187,X300089,403465,05-01-2016 12:30,15430.65823
63,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,199.9599443,0.003674155,1.003674155,-0.258263535,1.003674155,205.068281,231.268939,X420055,203161,05-01-2016 12:00,4669.284286
64,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,5838.996015,0.003674155,1.003674155,0.087740841,1.003674155,4004.606705,6288.884131,X420055,400745,05-01-2016 12:00,4669.284286
65,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,5575.595794,0.023687877,1.023687877,0.067596408,1.023687877,3996.757893,5988.884131,X420055,400745,05-01-2016 12:05,5678.612258
66,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,5290.695438,0.053410832,1.053410832,0.082157739,1.053410832,3610.780288,5688.884131,X420055,400745,05-01-2016 12:10,6556.751935
67,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,4864.178021,-0.033385021,0.966614979,0.046658042,0.966614979,3335.168946,5388.884131,X420055,400745,05-01-2016 12:15,7650.98
68,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,4643.67543,-0.100690807,0.899309193,-0.029208155,0.899309193,3360.065843,5088.884131,X420055,400745,05-01-2016 12:20,9154.699365
69,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,4553.962171,-0.100690807,0.899309193,-0.009935475,0.899309193,3534.707986,4788.884131,X420055,400745,05-01-2016 12:25,10719.67813
70,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,4399.599572,-0.100690807,0.899309193,0.02507993,0.899309193,3343.325992,4488.884131,X420055,400745,05-01-2016 12:30,13412.41489
71,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,1792.469967,0.003674155,1.003674155,0.11917484,1.003674155,1675.590142,2108.978911,X420055,805035,05-01-2016 12:00,4669.284286
72,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,1529.069746,0.023687877,1.023687877,0.101015158,1.023687877,1566.87153,1808.978911,X420055,805035,05-01-2016 12:05,5678.612258
73,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,1244.16939,0.053410832,1.053410832,-0.135730002,1.053410832,1340.604759,1508.978911,X420055,805035,05-01-2016 12:10,6556.751935
74,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,817.6519736,-0.033385021,0.966614979,-0.11232329,0.966614979,1068.714464,1208.978911,X420055,805035,05-01-2016 12:15,7650.98
75,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,597.149382,-0.100690807,0.899309193,-0.816123331,0.899309193,1009.741307,908.978911,X420055,805035,05-01-2016 12:20,9154.699365
76,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,507.4361236,-0.100690807,0.899309193,-0.725358106,0.899309193,789.8765145,608.978911,X420055,805035,05-01-2016 12:25,10719.67813
77,MA_A6-Weekday-SDon-040500_X1242_614,20160105,0,0,353.073524,-0.100690807,0.899309193,-0.605088029,0.899309193,493.2589598,308.978911,X420055,805035,05-01-2016 12:30,13412.41489
